species_name,dimorphism,source,synonym,tree_tip_names
Parablechnum_chiriquanum,NELD,"Collector: J. T. Mickel
Number: 3240 Collector: D. B. Lellinger
Number: 1704",,Blechnum_chiriquanum_KM001891
Parablechnum_christii,NELD,"Collector: P. Busey
Number: 668 Collector: E. Hennipman
Number: 6730",,Blechnum_christii
Parablechnum_cordatum,NELD,"Collector: Jose Steinbach
Number: 8913",,Blechnum_cordatum
Parablechnum_falciforme,NELD,"Collector: C. C. Hernandez
Number: CICH362 Collector: R. L. Seiler
Number: 863",,Blechnum_falciforme
Parablechnum_glaziovii,NELD,"Collector: Y. S. Kuniyoshi & R. Kummrow
Number: 4594 Collector: Y. Mexia
Number: 4546",,Blechnum_glaziovii
Parablechnum_lechleri,NELD,"Collector: C. J. Rothfels
Number: 4921",,Blechnum_lechleri
Parablechnum_lima,NELD,"Collector: I. Jimenez
Number: 1783 Collector: James C. Solomon
Number: 13697",,Blechnum_lima
Parablechnum_milnei,NELD,"Collector: Gillespie, J.W.
Number: Collector Number: 3337",,Blechnum_milnei
Parablechnum_minus,NELD,"Collector: L.A. Doore; T.T. Earle; P.J. Philson
Number: 372",,Blechnum_minus
Parablechnum_novae-zelandiae,NELD,"Collector: L.A. Doore; T.T. Earle
Number: 228",,Blechnumnovae-zelandiae
Parablechnum_pazense,NELD,"Collector: A. Fuentes
Number: 10230",,Blechnum_pazense
Parablechnum_proliferum,NELD,"Collector: Dr. Otto Buchtien
Number: 7006",,Blechnum_proliferum
Parablechnum_schiedeanum,NELD,"Collector: R. L. Seiler
Number: 863 Collector: C. A. Purpus
Number: 4370",,Blechnum_schiedeanum
Parablechnum_smilodon,NELD,"Collector: I. Jimenez
Number: 474",,Blechnum_smilodon
Parablechnum_stipitellatum,NELD,"Collector: B. León
Number: 2682 Collector: J. A. Steyermark
Number: 115580",,Blechnum_stipitellatum
Parablechnum_wattsii,NELD,"Collector: E. F. Constable
Number: 6910 Collector: M. D. Tindale
Number: NSW P-8084",,Blechnum_wattsii
Pentarhizidium_intermedium,NELD,"Collector: C. J. Rothfels
Number: 5307 Collector: Robert L. Fleming
Number: 2264",,Pentarhizidium_intermedium
Stenochlaena_milnei,NELD,"Collector: W. N. Takeuchi
Number: 7446",,Stenochlaena_milnei
Stenochlaena_palustris,NELD,"Collector: A. D. E. Elmer Number: 9025 Collector: M. Ramos
Number: 1115",,Stenochlaena_palustris
Stenochlaena_tenuifolia,NELD,"Collector: J. Buchanan Number: 471 Collector: L. J. Brass
Number: 33471",Lomariopsis tenuifolia,Stenochlaena_tenuifolia_EF463163
Struthiopteris_castanea,NELD,"Collector: Ohba, Hideaki Number: 73124 Collector: K. Iwatsuki
Number: 5049",Blechnum castaneum,Blechnum_castaneum
Struthiopteris_spicant,NELD,Collector: H. S. Conard Number: 345 / Paul Rothrock Photo / Occurrence ID (GUID): 40a309d7-0283-4fc4-bcbc-7e62e70c464c,,Blechnum_spicant
